apt_seq,name,flag,converted_on,note,reviewed_on
41281-3162,디엠씨하우스디엔에이치에프(임대),sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-03-25 전 전월세 440건(월 7.0건). 후보 묶음 일괄 승인(사용자),2026-09-25
28177-6392,e편한세상도화6-2단지,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2025-06-03 전 전월세 435건(월 9.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1702,시티프라디움2차아파트,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2023-10-20 전 전월세 431건(월 12.9건). 후보 묶음 일괄 승인(사용자),2026-09-25
41220-2834,이곡마을6단지,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-08-27 전 전월세 429건(월 9.8건). 후보 묶음 일괄 승인(사용자),2026-09-25
41390-2580,시흥배곧신도시대방노블랜드엘리트시티,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2025-01-13 전 전월세 410건(월 9.9건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1537,동탄2엘에이치26단지아파트(에이65블록),sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2023-04-26 전 전월세 410건(월 14.9건). 후보 묶음 일괄 승인(사용자),2026-09-25
41450-389,미사강변브라운스톤엔에이치에프,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-06-16 전 전월세 396건(월 7.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
41390-2349,리벤티움,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-05-20 전 전월세 366건(월 9.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
41390-2421,가온수플,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2025-03-26 전 전월세 330건(월 6.5건). 후보 묶음 일괄 승인(사용자),2026-09-25
41450-359,미사강변효성해링턴플레이스엔에이치에프,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2024-02-22 전 전월세 304건(월 8.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
